AgeBin_Adult,AgeBin_Child,AgeBin_MidAge,AgeBin_Senior,AgeBin_Teen,Embarked_C,Embarked_Q,Embarked_S,FamilySize,Fare,IsAlone,PassengerId,Pclass,Survived,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare
False,False,True,False,False,False,False,True,2,52.0,0,36,1,0,False,False,True,False,False
True,False,False,False,False,True,False,False,1,7.2292,1,37,3,1,False,False,True,False,False
True,False,False,False,False,False,False,True,1,8.05,1,38,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,3,18.0,0,39,3,0,False,True,False,False,False
False,False,False,False,True,True,False,False,2,11.2417,0,40,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,2,9.475,0,41,3,0,False,False,False,True,False
True,False,False,False,False,False,False,True,2,21.0,0,42,2,0,False,False,False,True,False
True,False,False,False,False,True,False,False,1,7.8958,1,43,3,0,False,False,True,False,False
False,True,False,False,False,True,False,False,4,41.5792,0,44,2,1,False,True,False,False,False
False,False,False,False,True,False,True,False,1,7.8792,1,45,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,8.05,1,46,3,0,False,False,True,False,False
True,False,False,False,False,False,True,False,2,15.5,0,47,3,0,False,False,True,False,False
False,False,False,False,True,False,True,False,1,7.75,1,48,3,1,False,True,False,False,False
True,False,False,False,False,True,False,False,3,21.6792,0,49,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,2,17.8,0,50,3,0,False,False,False,True,False
False,False,False,False,True,False,False,True,6,39.6875,0,51,3,0,True,False,False,False,False
True,False,False,False,False,False,False,True,1,7.8,1,52,3,0,False,False,True,False,False
False,False,True,False,False,True,False,False,2,76.7292,0,53,1,1,False,False,False,True,False
True,False,False,False,False,False,False,True,2,26.0,0,54,2,1,False,False,False,True,False
False,False,False,True,False,True,False,False,2,61.9792,0,55,1,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,35.5,1,56,1,1,False,False,True,False,False
True,False,False,False,False,False,False,True,1,10.5,1,57,2,1,False,True,False,False,False
True,False,False,False,False,True,False,False,1,7.2292,1,58,3,0,False,False,True,False,False
False,True,False,False,False,False,False,True,4,27.75,0,59,2,1,False,True,False,False,False
False,False,False,False,True,False,False,True,8,46.9,0,60,3,0,True,False,False,False,False
True,False,False,False,False,True,False,False,1,7.2292,1,61,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,80.0,1,62,1,1,False,True,False,False,False
False,False,True,False,False,False,False,True,2,83.475,0,63,1,0,False,False,True,False,False
False,True,False,False,False,False,False,True,6,27.9,0,64,3,0,True,False,False,False,False
True,False,False,False,False,True,False,False,1,27.7208,1,65,1,0,False,False,True,False,False
False,True,False,False,False,True,False,False,3,15.2458,0,66,3,1,True,False,False,False,False
True,False,False,False,False,False,False,True,1,10.5,1,67,2,1,False,False,False,True,False
False,False,False,False,True,False,False,True,1,8.1583,1,68,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,7,7.925,0,69,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,3,8.6625,0,70,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,10.5,1,71,2,0,False,False,True,False,False
False,False,False,False,True,False,False,True,8,46.9,0,72,3,0,False,True,False,False,False
True,False,False,False,False,False,False,True,1,73.5,1,73,2,0,False,False,True,False,False
True,False,False,False,False,True,False,False,2,14.4542,0,74,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,56.4958,1,75,3,1,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.65,1,76,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.8958,1,77,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,8.05,1,78,3,0,False,False,True,False,False
False,True,False,False,False,False,False,True,3,29.0,0,79,2,1,True,False,False,False,False
True,False,False,False,False,False,False,True,1,12.475,1,80,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,9.0,1,81,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,9.5,1,82,3,1,False,False,True,False,False
False,False,False,False,True,False,True,False,1,7.7875,1,83,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,47.1,1,84,1,0,False,False,True,False,False
False,False,False,False,True,False,False,True,1,10.5,1,85,2,1,False,True,False,False,False
True,False,False,False,False,False,False,True,4,15.85,0,86,3,1,False,False,False,True,False
False,False,False,False,True,False,False,True,5,34.375,0,87,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,8.05,1,88,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,6,263.0,0,89,1,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,8.05,1,90,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,8.05,1,91,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,1,7.8542,1,92,3,0,False,False,True,False,False
False,False,True,False,False,False,False,True,2,61.175,0,93,1,0,False,False,True,False,False
True,False,False,False,False,False,False,True,4,20.575,0,94,3,0,False,False,True,False,False
False,False,True,False,False,False,False,True,1,7.25,1,95,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,8.05,1,96,3,0,False,False,True,False,False
False,False,False,True,False,True,False,False,1,34.6542,1,97,1,0,False,False,True,False,False
True,False,False,False,False,True,False,False,2,63.3583,0,98,1,1,False,False,True,False,False
True,False,False,False,False,False,False,True,2,23.0,0,99,2,1,False,False,False,True,False
True,False,False,False,False,False,False,True,2,26.0,0,100,2,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.8958,1,101,3,0,False,True,False,False,False
True,False,False,False,False,False,False,True,1,7.8958,1,102,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,2,77.2875,0,103,1,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,8.6542,1,104,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,3,7.925,0,105,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.8958,1,106,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.65,1,107,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,7.775,1,108,3,1,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.8958,1,109,3,0,False,False,True,False,False
False,False,False,False,True,False,True,False,2,24.15,0,110,3,1,False,True,False,False,False
False,False,True,False,False,False,False,True,1,52.0,1,111,1,0,False,False,True,False,False
False,False,False,False,True,True,False,False,2,14.4542,0,112,3,0,False,True,False,False,False
True,False,False,False,False,False,False,True,1,8.05,1,113,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,2,9.825,0,114,3,0,False,True,False,False,False
False,False,False,False,True,True,False,False,1,14.4583,1,115,3,0,False,True,False,False,False
True,False,False,False,False,False,False,True,1,7.925,1,116,3,0,False,False,True,False,False
False,False,False,True,False,False,True,False,1,7.75,1,117,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,2,21.0,0,118,2,0,False,False,True,False,False
True,False,False,False,False,True,False,False,2,247.5208,0,119,1,0,False,False,True,False,False
False,True,False,False,False,False,False,True,7,31.275,0,120,3,0,False,True,False,False,False
True,False,False,False,False,False,False,True,3,73.5,0,121,2,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,8.05,1,122,3,0,False,False,True,False,False
True,False,False,False,False,True,False,False,2,30.0708,0,123,2,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,13.0,1,124,2,1,False,True,False,False,False
False,False,True,False,False,False,False,True,2,77.2875,0,125,1,0,False,False,True,False,False
False,False,False,False,True,True,False,False,2,11.2417,0,126,3,1,True,False,False,False,False
True,False,False,False,False,False,True,False,1,7.75,1,127,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.1417,1,128,3,1,False,False,True,False,False
False,False,False,False,True,True,False,False,3,22.3583,0,129,3,1,False,True,False,False,False
False,False,True,False,False,False,False,True,1,6.975,1,130,3,0,False,False,True,False,False
True,False,False,False,False,True,False,False,1,7.8958,1,131,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,1,7.05,1,132,3,0,False,False,True,False,False
False,False,True,False,False,False,False,True,2,14.5,0,133,3,0,False,False,False,True,False
True,False,False,False,False,False,False,True,2,26.0,0,134,2,1,False,False,False,True,False
True,False,False,False,False,False,False,True,1,13.0,1,135,2,0,False,False,True,False,False
True,False,False,False,False,True,False,False,1,15.0458,1,136,2,0,False,False,True,False,False
False,False,False,False,True,False,False,True,3,26.2833,0,137,1,1,False,True,False,False,False
True,False,False,False,False,False,False,True,2,53.1,0,138,1,0,False,False,True,False,False
False,False,False,False,True,False,False,True,1,9.2167,1,139,3,0,False,False,True,False,False
True,False,False,False,False,True,False,False,1,79.2,1,140,1,0,False,False,True,False,False
True,False,False,False,False,True,False,False,3,15.2458,0,141,3,0,False,False,False,True,False
True,False,False,False,False,False,False,True,1,7.75,1,142,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,2,15.85,0,143,3,1,False,False,False,True,False
False,False,False,False,True,False,True,False,1,6.75,1,144,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,1,11.5,1,145,2,0,False,False,True,False,False
False,False,False,False,True,False,False,True,3,36.75,0,146,2,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.7958,1,147,3,1,False,False,True,False,False
False,False,False,False,True,False,False,True,5,34.375,0,148,3,0,False,True,False,False,False
True,False,False,False,False,False,False,True,3,26.0,0,149,2,0,False,False,True,False,False
False,False,True,False,False,False,False,True,1,13.0,1,150,2,0,False,False,False,False,True
False,False,True,False,False,False,False,True,1,12.525,1,151,2,0,False,False,False,False,True
True,False,False,False,False,False,False,True,2,66.6,0,152,1,1,False,False,False,True,False
False,False,True,False,False,False,False,True,1,8.05,1,153,3,0,False,False,True,False,False
False,False,True,False,False,False,False,True,3,14.5,0,154,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.3125,1,155,3,0,False,False,True,False,False
False,False,True,False,False,True,False,False,2,61.3792,0,156,1,0,False,False,True,False,False
False,False,False,False,True,False,True,False,1,7.7333,1,157,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,8.05,1,158,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,8.6625,1,159,3,0,False,False,True,False,False
False,True,False,False,False,False,False,True,11,69.55,0,160,3,0,True,False,False,False,False
False,False,True,False,False,False,False,True,2,16.1,0,161,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,15.75,1,162,2,1,False,False,False,True,False
True,False,False,False,False,False,False,True,1,7.775,1,163,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,1,8.6625,1,164,3,0,False,False,True,False,False
False,True,False,False,False,False,False,True,6,39.6875,0,165,3,0,True,False,False,False,False
False,False,False,False,True,False,False,True,3,20.525,0,166,3,1,True,False,False,False,False
False,False,True,False,False,False,False,True,2,55.0,0,167,1,1,False,False,False,True,False
False,False,True,False,False,False,False,True,6,27.9,0,168,3,0,False,False,False,True,False
True,False,False,False,False,False,False,True,1,25.925,1,169,1,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,56.4958,1,170,3,0,False,False,True,False,False
False,False,False,True,False,False,False,True,1,33.5,1,171,1,0,False,False,True,False,False
False,True,False,False,False,False,True,False,6,29.125,0,172,3,0,True,False,False,False,False
False,True,False,False,False,False,False,True,3,11.1333,0,173,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,7.925,1,174,3,0,False,False,True,False,False
False,False,True,False,False,True,False,False,1,30.6958,1,175,1,0,False,False,True,False,False
False,False,False,False,True,False,False,True,3,7.8542,0,176,3,0,False,False,True,False,False
False,True,False,False,False,False,False,True,5,25.4667,0,177,3,0,True,False,False,False,False
False,False,True,False,False,True,False,False,1,28.7125,1,178,1,0,False,True,False,False,False
True,False,False,False,False,False,False,True,1,13.0,1,179,2,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,0.0,1,180,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,11,69.55,0,181,3,0,False,True,False,False,False
True,False,False,False,False,True,False,False,1,15.05,1,182,2,0,False,False,True,False,False
False,False,False,False,True,False,False,True,7,31.3875,0,183,3,0,True,False,False,False,False
False,True,False,False,False,False,False,True,4,39.0,0,184,2,1,True,False,False,False,False
False,True,False,False,False,False,False,True,3,22.025,0,185,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,50.0,1,186,1,0,False,False,True,False,False
True,False,False,False,False,False,True,False,2,15.5,0,187,3,1,False,False,False,True,False
False,False,True,False,False,False,False,True,1,26.55,1,188,1,1,False,False,True,False,False
True,False,False,False,False,False,True,False,3,15.5,0,189,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.8958,1,190,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,13.0,1,191,2,1,False,False,False,True,False
False,False,False,False,True,False,False,True,1,13.0,1,192,2,0,False,False,True,False,False
False,False,False,False,True,False,False,True,2,7.8542,0,193,3,1,False,True,False,False,False
False,True,False,False,False,False,False,True,3,26.0,0,194,2,1,True,False,False,False,False
False,False,True,False,False,True,False,False,1,27.7208,1,195,1,1,False,False,False,True,False
False,False,True,False,False,True,False,False,1,146.5208,1,196,1,1,False,True,False,False,False
True,False,False,False,False,False,True,False,1,7.75,1,197,3,0,False,False,True,False,False
False,False,True,False,False,False,False,True,2,8.4042,0,198,3,0,False,False,True,False,False
False,False,False,False,True,False,True,False,1,7.75,1,199,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,13.0,1,200,2,0,False,True,False,False,False
True,False,False,False,False,False,False,True,1,9.5,1,201,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,11,69.55,0,202,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,6.4958,1,203,3,0,False,False,True,False,False
False,False,True,False,False,True,False,False,1,7.225,1,204,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,1,8.05,1,205,3,1,False,False,True,False,False
False,True,False,False,False,False,False,True,2,10.4625,0,206,3,0,False,True,False,False,False
True,False,False,False,False,False,False,True,2,15.85,0,207,3,0,False,False,True,False,False
True,False,False,False,False,True,False,False,1,18.7875,1,208,3,1,False,False,True,False,False
False,False,False,False,True,False,True,False,1,7.75,1,209,3,1,False,True,False,False,False
True,False,False,False,False,True,False,False,1,31.0,1,210,1,1,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.05,1,211,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,21.0,1,212,2,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,7.25,1,213,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,13.0,1,214,2,0,False,False,True,False,False
True,False,False,False,False,False,True,False,2,7.75,0,215,3,0,False,False,True,False,False
True,False,False,False,False,True,False,False,2,113.275,0,216,1,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,7.925,1,217,3,1,False,True,False,False,False
False,False,True,False,False,False,False,True,2,27.0,0,218,2,0,False,False,True,False,False
True,False,False,False,False,True,False,False,1,76.2917,1,219,1,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,10.5,1,220,2,0,False,False,True,False,False
False,False,False,False,True,False,False,True,1,8.05,1,221,3,1,False,False,True,False,False
True,False,False,False,False,False,False,True,1,13.0,1,222,2,0,False,False,True,False,False
False,False,True,False,False,False,False,True,1,8.05,1,223,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.8958,1,224,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,2,90.0,0,225,1,1,False,False,True,False,False
True,False,False,False,False,False,False,True,1,9.35,1,226,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,1,10.5,1,227,2,1,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.25,1,228,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,1,13.0,1,229,2,0,False,False,True,False,False
False,False,False,False,True,False,False,True,5,25.4667,0,230,3,0,False,True,False,False,False
True,False,False,False,False,False,False,True,2,83.475,0,231,1,1,False,False,False,True,False
True,False,False,False,False,False,False,True,1,7.775,1,232,3,0,False,False,True,False,False
False,False,True,False,False,False,False,True,1,13.5,1,233,2,0,False,False,True,False,False
False,True,False,False,False,False,False,True,7,31.3875,0,234,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,10.5,1,235,2,0,False,False,True,False,False
False,False,False,False,True,False,False,True,1,7.55,1,236,3,0,False,True,False,False,False
False,False,True,False,False,False,False,True,2,26.0,0,237,2,0,False,False,True,False,False
False,False,False,False,True,False,False,True,3,26.25,0,238,2,1,False,True,False,False,False
False,False,False,False,True,False,False,True,1,10.5,1,239,2,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,12.275,1,240,2,0,False,False,True,False,False
False,False,False,False,True,True,False,False,2,14.4542,0,241,3,0,False,True,False,False,False
False,False,False,False,True,False,True,False,2,15.5,0,242,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,10.5,1,243,2,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.125,1,244,3,0,False,False,True,False,False
True,False,False,False,False,True,False,False,1,7.225,1,245,3,0,False,False,True,False,False
False,False,True,False,False,False,True,False,3,90.0,0,246,1,0,False,False,False,False,True
True,False,False,False,False,False,False,True,1,7.775,1,247,3,0,False,True,False,False,False
True,False,False,False,False,False,False,True,3,14.5,0,248,2,1,False,False,False,True,False
True,False,False,False,False,False,False,True,3,52.5542,0,249,1,1,False,False,True,False,False
False,False,True,False,False,False,False,True,2,26.0,0,250,2,0,False,False,False,False,True
True,False,False,False,False,False,False,True,1,7.25,1,251,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,3,10.4625,0,252,3,0,False,False,False,True,False
False,False,False,True,False,False,False,True,1,26.55,1,253,1,0,False,False,True,False,False
True,False,False,False,False,False,False,True,2,16.1,0,254,3,0,False,False,True,False,False
False,False,True,False,False,False,False,True,3,20.2125,0,255,3,0,False,False,False,True,False
True,False,False,False,False,True,False,False,3,15.2458,0,256,3,1,False,False,False,True,False
False,False,True,False,False,True,False,False,1,79.2,1,257,1,1,False,False,False,True,False
True,False,False,False,False,False,False,True,1,86.5,1,258,1,1,False,True,False,False,False
True,False,False,False,False,True,False,False,1,512.3292,1,259,1,1,False,True,False,False,False
False,False,True,False,False,False,False,True,2,26.0,0,260,2,1,False,False,False,True,False
True,False,False,False,False,False,True,False,1,7.75,1,261,3,0,False,False,True,False,False
False,True,False,False,False,False,False,True,7,31.3875,0,262,3,1,True,False,False,False,False
False,False,True,False,False,False,False,True,3,79.65,0,263,1,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,0.0,1,264,1,0,False,False,True,False,False
False,False,False,False,True,False,True,False,1,7.75,1,265,3,0,False,True,False,False,False
True,False,False,False,False,False,False,True,1,10.5,1,266,2,0,False,False,True,False,False
False,False,False,False,True,False,False,True,6,39.6875,0,267,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,2,7.775,0,268,3,1,False,False,True,False,False
False,False,True,False,False,False,False,True,2,153.4625,0,269,1,1,False,False,False,True,False
True,False,False,False,False,False,False,True,1,135.6333,1,270,1,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,31.0,1,271,1,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,0.0,1,272,3,1,False,False,True,False,False
False,False,True,False,False,False,False,True,2,19.5,0,273,2,1,False,False,False,True,False
True,False,False,False,False,True,False,False,2,29.7,0,274,1,0,False,False,True,False,False
False,False,False,False,True,False,True,False,1,7.75,1,275,3,1,False,True,False,False,False
False,False,False,True,False,False,False,True,2,77.9583,0,276,1,1,False,True,False,False,False
False,False,True,False,False,False,False,True,1,7.75,1,277,3,0,False,True,False,False,False
True,False,False,False,False,False,False,True,1,0.0,1,278,2,0,False,False,True,False,False
False,False,False,False,True,False,True,False,6,29.125,0,279,3,0,True,False,False,False,False
True,False,False,False,False,False,False,True,3,20.25,0,280,3,1,False,False,False,True,False
False,False,False,True,False,False,True,False,1,7.75,1,281,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.8542,1,282,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,1,9.5,1,283,3,0,False,False,True,False,False
False,False,False,False,True,False,False,True,1,8.05,1,284,3,1,False,False,True,False,False
True,False,False,False,False,False,False,True,1,26.0,1,285,1,0,False,False,True,False,False
True,False,False,False,False,True,False,False,1,8.6625,1,286,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,9.5,1,287,3,1,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.8958,1,288,3,0,False,False,True,False,False
False,False,True,False,False,False,False,True,1,13.0,1,289,2,1,False,False,True,False,False
True,False,False,False,False,False,True,False,1,7.75,1,290,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,78.85,1,291,1,1,False,True,False,False,False
False,False,False,False,True,True,False,False,2,91.0792,0,292,1,1,False,False,False,True,False
True,False,False,False,False,True,False,False,1,12.875,1,293,2,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,8.85,1,294,3,0,False,True,False,False,False
True,False,False,False,False,False,False,True,1,7.8958,1,295,3,0,False,False,True,False,False
True,False,False,False,False,True,False,False,1,27.7208,1,296,1,0,False,False,True,False,False
True,False,False,False,False,True,False,False,1,7.2292,1,297,3,0,False,False,True,False,False
False,True,False,False,False,False,False,True,4,151.55,0,298,1,0,False,True,False,False,False
True,False,False,False,False,False,False,True,1,30.5,1,299,1,1,False,False,True,False,False
False,False,True,False,False,True,False,False,2,247.5208,0,300,1,1,False,False,False,True,False
False,False,False,False,True,False,True,False,1,7.75,1,301,3,1,False,True,False,False,False
True,False,False,False,False,False,True,False,3,23.25,0,302,3,1,False,False,True,False,False
False,False,False,False,True,False,False,True,1,0.0,1,303,3,0,False,False,True,False,False
True,False,False,False,False,False,True,False,1,12.35,1,304,2,1,False,True,False,False,False
True,False,False,False,False,False,False,True,1,8.05,1,305,3,0,False,False,True,False,False
False,True,False,False,False,False,False,True,4,151.55,0,306,1,1,True,False,False,False,False
True,False,False,False,False,True,False,False,1,110.8833,1,307,1,1,False,True,False,False,False
False,False,False,False,True,True,False,False,2,108.9,0,308,1,1,False,False,False,True,False
True,False,False,False,False,True,False,False,2,24.0,0,309,2,0,False,False,True,False,False
True,False,False,False,False,True,False,False,1,56.9292,1,310,1,1,False,True,False,False,False
True,False,False,False,False,True,False,False,1,83.1583,1,311,1,1,False,True,False,False,False
False,False,False,False,True,True,False,False,5,262.375,0,312,1,1,False,True,False,False,False
True,False,False,False,False,False,False,True,3,26.0,0,313,2,0,False,False,False,True,False
True,False,False,False,False,False,False,True,1,7.8958,1,314,3,0,False,False,True,False,False
False,False,True,False,False,False,False,True,3,26.25,0,315,2,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.8542,1,316,3,1,False,True,False,False,False
True,False,False,False,False,False,False,True,2,26.0,0,317,2,1,False,False,False,True,False
False,False,True,False,False,False,False,True,1,14.0,1,318,2,0,False,False,False,False,True
True,False,False,False,False,False,False,True,3,164.8667,0,319,1,1,False,True,False,False,False
True,False,False,False,False,True,False,False,3,134.5,0,320,1,1,False,False,False,True,False
True,False,False,False,False,False,False,True,1,7.25,1,321,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,7.8958,1,322,3,0,False,False,True,False,False
True,False,False,False,False,False,True,False,1,12.35,1,323,2,1,False,True,False,False,False
True,False,False,False,False,False,False,True,3,29.0,0,324,2,1,False,False,False,True,False
True,False,False,False,False,False,False,True,11,69.55,0,325,3,0,False,False,True,False,False
True,False,False,False,False,True,False,False,1,135.6333,1,326,1,1,False,True,False,False,False
False,False,False,True,False,False,False,True,1,6.2375,1,327,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,1,13.0,1,328,2,1,False,False,False,True,False
True,False,False,False,False,False,False,True,3,20.525,0,329,3,1,False,False,False,True,False
False,False,False,False,True,True,False,False,2,57.9792,0,330,1,1,False,True,False,False,False
False,False,False,False,True,False,True,False,3,23.25,0,331,3,1,False,True,False,False,False
False,False,True,False,False,False,False,True,1,28.5,1,332,1,0,False,False,True,False,False
True,False,False,False,False,False,False,True,2,153.4625,0,333,1,0,False,False,True,False,False
False,False,False,False,True,False,False,True,3,18.0,0,334,3,0,False,False,True,False,False
False,False,True,False,False,False,False,True,2,133.65,0,335,1,1,False,False,False,True,False
True,False,False,False,False,False,False,True,1,7.8958,1,336,3,0,False,False,True,False,False
True,False,False,False,False,False,False,True,2,66.6,0,337,1,0,False,False,True,False,False
False,False,True,False,False,True,False,False,1,134.5,1,338,1,1,False,True,False,False,False
False,False,True,False,False,False,False,True,1,8.05,1,339,3,1,False,False,True,False,False
False,False,True,False,False,False,False,True,1,35.5,1,340,1,0,False,False,True,False,False
